"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\3d-product-cards\README.markdown", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\3d-product-cards\dist\User.html", "HTML", 113, 0, 0, 0, 0, 0, 0, 2, 5, 120
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\3d-product-cards\dist\script.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\3d-product-cards\dist\style.css", "CSS", 0, 0, 206, 0, 0, 0, 0, 0, 13, 219
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\3d-product-cards\src\index.html", "HTML", 100, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\Loch.html", "HTML", 58, 0, 0, 0, 0, 0, 0, 3, 20, 81
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\README.md", "Markdown", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\User.html", "HTML", 379, 0, 0, 0, 0, 0, 0, 54, 79, 512
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\Userstyle.css", "CSS", 0, 0, 177, 0, 0, 0, 0, 17, 29, 223
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\css\flex-slider.css", "CSS", 0, 0, 255, 0, 0, 0, 0, 26, 1, 282
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\css\font-awesome.css", "CSS", 0, 0, 2327, 0, 0, 0, 0, 10, 0, 2337
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\css\templatemo-softy-pinko.css", "CSS", 0, 0, 1312, 0, 0, 0, 0, 89, 187, 1588
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\flexslider-icon.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 565, 0, 0, 0, 0, 0, 565
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\slick.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\custom.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 10, 26, 134
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\imgfix.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\jquery-2.1.0.min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\jquery.counterup.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\popper.js", "JavaScript", 0, 1161, 0, 0, 0, 0, 0, 986, 298, 2445
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\scrollreveal.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\waypoints.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\base\_base.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\components\_battery.scss", "SCSS", 0, 0, 0, 0, 122, 0, 0, 5, 10, 137
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\components\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 4, 2, 21
